study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB55595	SAMEA110745271	ERX9652142	ERR10114986	9595	Gorilla gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/086/ERR10114986/ERR10114986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/086/ERR10114986/ERR10114986_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114986/CZ-MB1_S1_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114986/CZ-MB1_S1_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745272	ERX9652143	ERR10114987	9509	Ateles geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/087/ERR10114987/ERR10114987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/087/ERR10114987/ERR10114987_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114987/CZ-MB10_S10_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114987/CZ-MB10_S10_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745273	ERX9652144	ERR10114988	9595	Gorilla gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/088/ERR10114988/ERR10114988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/088/ERR10114988/ERR10114988_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114988/CZ-MB102_S102_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114988/CZ-MB102_S102_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745274	ERX9652145	ERR10114989	9595	Gorilla gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/089/ERR10114989/ERR10114989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/089/ERR10114989/ERR10114989_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114989/CZ-MB103_S103_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114989/CZ-MB103_S103_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745275	ERX9652146	ERR10114990	9595	Gorilla gorilla gorilla	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/090/ERR10114990/ERR10114990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/090/ERR10114990/ERR10114990_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114990/CZ-MB104_S104_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114990/CZ-MB104_S104_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745276	ERX9652147	ERR10114991	9601	Pongo abelii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/091/ERR10114991/ERR10114991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/091/ERR10114991/ERR10114991_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114991/CZ-MB106_S106_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114991/CZ-MB106_S106_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745277	ERX9652148	ERR10114992	9601	Pongo abelii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/092/ERR10114992/ERR10114992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/092/ERR10114992/ERR10114992_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114992/CZ-MB107_S107_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114992/CZ-MB107_S107_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745278	ERX9652149	ERR10114993	9601	Pongo abelii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/093/ERR10114993/ERR10114993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/093/ERR10114993/ERR10114993_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114993/CZ-MB108_S108_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114993/CZ-MB108_S108_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745279	ERX9652150	ERR10114994	36227	Cercopithecus neglectus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/094/ERR10114994/ERR10114994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/094/ERR10114994/ERR10114994_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114994/CZ-MB109_S109_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114994/CZ-MB109_S109_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745280	ERX9652151	ERR10114995	36227	Cercopithecus neglectus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/095/ERR10114995/ERR10114995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/095/ERR10114995/ERR10114995_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114995/CZ-MB110_S110_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114995/CZ-MB110_S110_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745281	ERX9652152	ERR10114996	9509	Ateles geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/096/ERR10114996/ERR10114996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/096/ERR10114996/ERR10114996_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114996/CZ-MB111_S111_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114996/CZ-MB111_S111_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745282	ERX9652153	ERR10114997	9509	Ateles geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/097/ERR10114997/ERR10114997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/097/ERR10114997/ERR10114997_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114997/CZ-MB112_S112_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114997/CZ-MB112_S112_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745283	ERX9652154	ERR10114998	9509	Ateles geoffroyi	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/098/ERR10114998/ERR10114998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/098/ERR10114998/ERR10114998_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114998/CZ-MB114_S114_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114998/CZ-MB114_S114_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745284	ERX9652155	ERR10114999	43777	Pithecia pithecia	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/099/ERR10114999/ERR10114999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/099/ERR10114999/ERR10114999_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114999/CZ-MB116_S116_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10114999/CZ-MB116_S116_L001_R2.fastq.gz	
PRJEB55595	SAMEA110745285	ERX9652156	ERR10115000	43777	Pithecia pithecia	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR10115000/ERR10115000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR10115000/ERR10115000_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115000/CZ-MB117_S117_L001_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10115000/CZ-MB117_S117_L001_R2.fastq.gz	
