Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR12210269	96.54423417544514	52.0	439.27637736552623	40.0	107270.0
SRR12210270	96.89818076333347	52.0	441.868260743442	40.0	96524.0
SRR12210271	97.24527822478191	52.0	438.7291543152367	40.0	94456.0
SRR12210272	97.64083638197208	52.0	439.13250582012853	40.0	93211.0
SRR12210273	92.27902946273831	50.0	435.11965987868285	40.0	92320.0
SRR12210274	92.04277261389439	50.0	434.97032538058005	40.0	89403.0
SRR12210275	95.88442908774867	52.0	441.72289054467984	30.0	94349.0
SRR12210276	96.17855077169733	52.0	439.00744807151773	40.0	98549.0
SRR12210277	95.78592605731951	52.0	439.54528292324454	40.0	78926.0
SRR12210278	97.12544271476814	52.0	441.7851700848365	40.0	97128.0
SRR12210279	96.94198861571999	51.0	439.5247971418191	40.0	99084.0
SRR12210280	97.14980413345941	51.0	439.12668609251074	40.0	103642.0
SRR12210281	91.84507341987657	50.0	437.58138611052	40.0	70485.0
SRR12210282	87.58676389685485	52.0	432.2402467430618	30.0	85433.0
SRR12210283	86.59549894033348	52.0	437.51403357292634	40.0	89179.0
SRR12210284	87.90310007795168	52.0	436.98244288541105	40.0	83385.0
SRR12210285	97.65240801675142	51.0	439.3142566556985	40.0	83575.0
SRR12210286	97.62098360655737	51.0	438.89901639344265	40.0	76250.0
SRR12210287	97.20263418614138	51.0	438.6734803893001	40.0	68636.0
SRR12210288	95.987602846342	52.0	439.35885034467424	40.0	71952.0
SRR12210289	96.08580424490906	52.0	439.27188710444653	40.0	88294.0
SRR12210290	96.01636089905006	52.0	439.50848022169816	40.0	75057.0
SRR12210291	97.17268377555459	52.0	438.83417755265265	40.0	71269.0
SRR12210292	97.2498901420829	51.0	439.2004052536497	40.0	81924.0
SRR12210293	97.14129560187645	52.0	438.69264752766856	40.0	65869.0
SRR12210294	97.25276149976663	52.0	438.945638645439	40.0	77132.0
SRR12210295	89.61673460717573	51.0	432.37104621640486	40.0	98861.0
SRR12210296	90.06942734748141	51.0	431.7487714806243	40.0	101545.0
SRR12210297	90.56380741989555	51.0	431.2562179654875	40.0	103209.0
SRR12210298	97.63666278043519	50.0	440.9952166664851	40.0	91777.0
SRR12210299	97.56941419521849	51.0	439.00678274072504	40.0	80351.0
SRR12210300	97.48043754352902	51.0	439.2274434293362	40.0	73227.0
SRR12210301	96.25551560712535	52.0	439.07026270632457	40.0	97904.0
SRR12210302	96.10830605337624	52.0	439.49937302335906	40.0	90115.0
SRR12210303	97.4353728397439	51.0	439.4297645982766	40.0	83092.0
SRR12210304	96.99824645305277	52.0	439.33540570699824	40.0	62730.0
