Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12210269	SRR12210269.fastq	Conventional base calls	Sanger / Illumina 1.9	107270.0	0.0	150-491	52.0	3.4594947329169385	439.32373450172463	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210270	SRR12210270.fastq	Conventional base calls	Sanger / Illumina 1.9	96524.0	0.0	150-530	52.0	3.108035307281091	439.6272636857155	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210271	SRR12210271.fastq	Conventional base calls	Sanger / Illumina 1.9	94456.0	0.0	155-473	52.0	2.7631913271787925	438.8430592021682	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210272	SRR12210272.fastq	Conventional base calls	Sanger / Illumina 1.9	93211.0	0.0	155-470	52.0	2.361309287530442	439.183036336913	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210273	SRR12210273.fastq	Conventional base calls	Sanger / Illumina 1.9	92320.0	0.0	150-544	50.0	7.729636048526863	435.14664211438475	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210274	SRR12210274.fastq	Conventional base calls	Sanger / Illumina 1.9	89403.0	0.0	150-507	50.0	7.9639385702940615	434.9913537577039	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210275	SRR12210275.fastq	Conventional base calls	Sanger / Illumina 1.9	94349.0	0.0	150-521	52.0	4.11981049083721	439.2388154617431	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR12210276	SRR12210276.fastq	Conventional base calls	Sanger / Illumina 1.9	98549.0	0.0	154-525	52.0	3.8275375701427716	439.1059777369633	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210277	SRR12210277.fastq	Conventional base calls	Sanger / Illumina 1.9	78926.0	0.0	150-482	52.0	4.222943009908016	439.59469629779795	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR12210278	SRR12210278.fastq	Conventional base calls	Sanger / Illumina 1.9	97128.0	0.0	150-516	52.0	2.8807347006012685	439.51981920764354	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210279	SRR12210279.fastq	Conventional base calls	Sanger / Illumina 1.9	99084.0	0.0	150-475	51.0	3.0610391183238463	439.56940575673167	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR12210280	SRR12210280.fastq	Conventional base calls	Sanger / Illumina 1.9	103642.0	0.0	154-518	51.0	2.852125586152332	439.16614885857086	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
