Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR12210269	96.54050526708306	52.0	439.32373450172463	40.0	107270.0
SRR12210270	96.89196469271891	52.0	439.6272636857155	40.0	96524.0
SRR12210271	97.23680867282121	52.0	438.8430592021682	40.0	94456.0
SRR12210272	97.63869071246955	52.0	439.183036336913	40.0	93211.0
SRR12210273	92.27036395147314	50.0	435.14664211438475	40.0	92320.0
SRR12210274	92.03606142970594	50.0	434.9913537577039	40.0	89403.0
SRR12210275	95.88018950916279	52.0	439.2388154617431	30.0	94349.0
SRR12210276	96.17246242985723	52.0	439.1059777369633	40.0	98549.0
SRR12210277	95.77705699009198	52.0	439.59469629779795	30.0	78926.0
SRR12210278	97.11926529939873	52.0	439.51981920764354	40.0	97128.0
SRR12210279	96.93896088167615	51.0	439.56940575673167	40.0	99084.0
SRR12210280	97.14787441384767	51.0	439.16614885857086	40.0	103642.0
SRR12210281	91.83939845357168	50.0	434.72907710860466	40.0	70485.0
SRR12210282	87.5762293259045	52.0	432.25768731052403	30.0	85433.0
SRR12210283	86.5719507955909	52.0	433.9951558102244	40.0	89179.0
SRR12210284	87.88391197457577	52.0	433.7382742699526	40.0	83385.0
SRR12210285	97.64642536643733	51.0	439.36486987735566	40.0	83575.0
SRR12210286	97.61704918032787	51.0	438.9507672131148	40.0	76250.0
SRR12210287	97.20117722478	51.0	438.7406463080599	40.0	68636.0
SRR12210288	95.98204358461196	52.0	439.40221258616856	40.0	71952.0
SRR12210289	96.08127392574806	52.0	439.3462975966657	40.0	88294.0
SRR12210290	96.00969929520231	52.0	439.56346509985747	40.0	75057.0
SRR12210291	97.16707123714377	52.0	438.9220558728199	40.0	71269.0
SRR12210292	97.24500756798984	51.0	439.2629022020409	40.0	81924.0
SRR12210293	97.13218661282242	52.0	438.7840410511773	40.0	65869.0
SRR12210294	97.24757558471192	52.0	439.09487631592594	40.0	77132.0
SRR12210295	89.60156178877413	51.0	432.3806556680592	40.0	98861.0
SRR12210296	90.05760992663352	51.0	431.7745728494756	40.0	101545.0
SRR12210297	90.54636708039027	51.0	431.2680386400411	40.0	103209.0
SRR12210298	97.63339398760039	50.0	439.0700393344738	40.0	91777.0
SRR12210299	97.56692511605331	51.0	439.06723002825106	40.0	80351.0
SRR12210300	97.46814699496088	51.0	439.32508500962757	40.0	73227.0
SRR12210301	96.25142997221768	52.0	439.121128860925	40.0	97904.0
SRR12210302	96.10608666703656	52.0	439.5422071797148	40.0	90115.0
SRR12210303	97.43416935445049	51.0	439.4720069320753	40.0	83092.0
SRR12210304	96.99346405228758	52.0	439.3784473138849	40.0	62730.0
